City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
356,gaiman,-43.2897,-65.4929,287.91,26,94,10.73,AR,1698608956
357,weyburn,49.6668,-103.8511,269.27,74,100,5.14,CA,1698609129
358,ola,59.5833,151.2833,271.07,68,15,2.31,RU,1698609129
359,malabar,-33.9667,151.25,289.89,78,0,3.09,AU,1698609130
360,siilinjarvi,63.0833,27.6667,271.16,67,100,3.13,FI,1698609131
361,siwa oasis,29.2041,25.5195,298.58,44,9,3.73,EG,1698609135
362,rawson,-43.3002,-65.1023,285.04,46,94,3.78,AR,1698609136
363,ptolemaida,40.5147,21.6786,288.91,56,0,0.61,GR,1698609137
364,koni-djodjo,-12.2297,44.4817,295.14,86,2,2.1,KM,1698609139
365,cafayate,-26.073,-65.9761,305.61,5,32,9.32,AR,1698609142
366,kerikeri,-35.2268,173.9474,290.32,96,100,1.79,NZ,1698609143
367,joshimath,30.5667,79.5667,284.97,54,1,2.54,IN,1698609144
368,meadow lake,34.8014,-106.5436,287.99,40,87,1.81,US,1698609145
369,chivhu,-19.0211,30.8922,290.86,76,57,8.12,ZW,1698609146
370,ulsteinvik,62.3432,5.8487,279.12,58,0,3.58,NO,1698609146
371,khorugh,37.4897,71.553,282.19,58,6,0.28,TJ,1698609148
372,savonlinna,61.8699,28.88,263.18,92,0,1.54,FI,1698609149
373,chui,-33.6971,-53.4616,293.46,77,48,5.14,UY,1698609150
374,merizo village,13.2658,144.6691,301.0,94,8,3.66,GU,1698609151
375,tokyo,35.6895,139.6917,288.46,63,0,3.09,JP,1698608623
376,metlili chaamba,32.2667,3.6333,301.67,14,40,2.57,DZ,1698609152
377,la ronge,55.1001,-105.2842,273.27,64,75,8.23,CA,1698609153
378,pathardi,19.1667,75.1833,294.69,42,14,3.1,IN,1698609154
379,malvan,16.0667,73.4667,300.28,68,93,1.05,IN,1698609154
380,kattivakkam,13.2167,80.3167,299.3,88,77,3.64,IN,1698609155
381,lesogorsk,56.0458,99.5136,267.0,65,0,0.89,RU,1698609156
382,kargopol',61.5071,38.9456,269.26,89,100,1.99,RU,1698609157
383,taichung,24.1469,120.6839,297.31,82,75,2.06,TW,1698609072
384,belmonte,-15.8631,-38.8828,298.99,70,38,4.89,BR,1698609158
